unique_key,created_date,closed_date,resolution_action_updated_date,status,status_notes,agency_name,category,complaint_type,descriptor,incident_address,supervisor_district,neighborhood,location,source,media_url,latitude,longitude,police_district
8107221,2017-10-05 18:58:00 UTC,2017-10-06 19:15:00 UTC,2017-10-06 19:15:00 UTC,Closed,,311 Supervisor Queue,Damaged Property,Damaged Benches_on_Sidewalk,Benches_on_Sidewalk,"2435 LOMBARD ST, SAN FRANCISCO, CA, 94123",2,Cow Hollow,POINT (-122.441568 37.799011),Mobile/Open311,,37.799011,-122.441568,NORTHERN
8438389,2017-12-28 16:50:00 UTC,2018-01-22 14:11:03 UTC,2018-01-22 14:11:03 UTC,Closed,,DPT SignShop 10 Queue,Illegal Postings,Illegal Postings - No_Posting_Date,No Posting Date,Intersection of 20TH ST and INDIANA ST,10,Dogpatch,POINT (-122.39143305 37.76046981),Mobile/Open311,,37.760469806416,-122.391433054695,BAYVIEW
8476635,2018-01-08 08:03:00 UTC,2018-01-08 11:30:00 UTC,2018-01-08 11:30:00 UTC,Closed,,DPT SignShop 07 Queue,Sign Repair,Sign Repair - On_Ground,Other - On_Ground; support - On_Ground,Intersection of LAKE MERCED BLVD and SUNSET BLVD,7,Lakeshore,POINT (-122.49346924 37.72959518),Phone,,37.729595184326,-122.493469238281,TARAVAL
8525289,2018-01-19 05:44:37 UTC,2018-01-20 06:00:01 UTC,2018-01-20 06:00:01 UTC,Closed,Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"195 14TH AVE, SAN FRANCISCO, CA, 94118",1,Lake Street,POINT (-122.47327423 37.7846756),Web,,37.784675598145,-122.473274230957,RICHMOND
8639118,2018-02-15 15:35:00 UTC,2018-02-16 06:00:51 UTC,2018-02-16 06:00:51 UTC,Closed,Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_reallocate,Noise Report - other_reallocate,"99 JACKSON ST, SAN FRANCISCO, CA, 94111",3,Northern Waterfront,POINT (-122.396677 37.79856),Mobile/Open311,,37.79856,-122.396677,CENTRAL
8759503,2018-03-19 07:00:50 UTC,2018-03-19 10:55:27 UTC,2018-03-19 10:55:27 UTC,Closed,Maximo Service Request has been cancelled. Memo: Which Light - Number marked on the pole will help.. s       Add'l Notes:s      Which light - If you can give us the number marked on the pole will be a great help. Thanks,PUC Streetlights Queue,Streetlights,Streetlight - Other_Request_Light_Shield,Other_Request_Light_Shield on Unknown Pole,"4056 MISSION ST, SAN FRANCISCO, CA, 94112",8,St. Mary's Park,POINT (-122.42755127 37.73271561),Web,,37.732715606689,-122.427551269531,INGLESIDE
8871902,2018-04-14 14:31:00 UTC,2018-04-18 15:19:57 UTC,2018-04-18 15:19:57 UTC,Closed,Maximo Service Request has been resolved. .,PUC Streetlights Queue,Streetlights,Streetlight - Pullbox_Other,Pullbox_Other on Metal Pole,"318 HARRISON ST, SAN FRANCISCO, CA, 94105",6,Rincon Hill,POINT (-122.3914032 37.78735352),Twitter,https://twitter.com/ECDispatch/status/985264460875968512/photo/1,37.787353515625,-122.391403198242,SOUTHERN
8752463,2018-03-16 13:55:00 UTC,2018-03-16 14:29:00 UTC,2018-03-16 14:29:00 UTC,Closed,DPH Environmental HealthsHealthy Housing & Vector Control Programs415-252-3805,DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"3549 MISSION ST, SAN FRANCISCO, CA, 94110",9,Holly Park,POINT (-122.42330933 37.7399826),Phone,,37.73998260498,-122.423309326172,INGLESIDE
8949946,2018-05-02 16:34:00 UTC,2018-06-12 00:00:00 UTC,2018-06-12 00:00:00 UTC,Closed,"5/4/18: x1104 to SFPUC to raise 16""round valve cover.  ERs6.12.18: N/E corner of North Point and Hyde St. Valve cove has been filled and made level to grade..mb -  X1104: 1125760",DPW BSM Queue,Street Defects,Utility_Excavation,Utility_Excavation,"798 NORTH POINT ST, SAN FRANCISCO, CA, 94109",2,Fisherman's Wharf,POINT (-122.42021694 37.80574099),Web,,37.805740992163,-122.420216943347,CENTRAL
8878218,2018-04-16 13:06:00 UTC,2018-04-30 12:06:00 UTC,2018-04-30 12:06:00 UTC,Closed,,DPW Ops Queue,311 External Request,Trees,Trees,Intersection of SUNSET BLVD and OCEAN AVE,7,Lakeshore,POINT (-122.49372101 37.73191071),Phone,,37.731910705566,-122.493721008301,TARAVAL
10738153,2019-04-16 16:09:00 UTC,2019-06-21 00:00:00 UTC,2019-06-21 00:00:00 UTC,Closed,4/25/19: JJC to call Pat Moore (female) 415-587-8083 to figure out details of this location and scope.ssTools and wheel barrow recoverd.  LA,DPW Ops Queue,DPW Volunteer Programs,Community_Clean_Team,Community_Clean_Team,Intersection of CIRCULAR AVE and CONGO ST,7,Sunnyside,POINT (-122.44200897 37.72937393),Phone,,37.729373931885,-122.442008972168,INGLESIDE
10589856,2019-03-11 17:11:00 UTC,2019-03-12 09:33:00 UTC,2019-03-12 09:33:00 UTC,Closed,NOT A MAINTENANCE DEPT FUNCTION / FWD TO STREETLIGHT UPGRADE,PG and E - Streetlights Queue,Streetlights,Streetlight - Light_Glass_Cover_Missing,Light_Glass_Cover_Missing on Wooden Pole,"84 DAWNVIEW WAY, SAN FRANCISCO, CA, 94131",8,Midtown Terrace,POINT (-122.44541931 37.74785995),Phone,,37.747859954834,-122.445419311523,PARK
11052325,2019-06-27 08:42:00 UTC,2019-06-27 22:10:16 UTC,2019-06-27 22:10:16 UTC,Closed,Request is a duplicate and has been previously reported as 11052325,DPW Ops Queue,Litter Receptacles,Other_garbage_can_repair,N/A,"10 THE EMBARCADERO, SAN FRANCISCO, CA, 94107",6,South Beach,POINT (-122.388128 37.782754),Mobile/Open311,http://mobile311.sfgov.org/reports/11052325/photos,37.782754,-122.388128,SOUTHERN
10836574,2019-05-08 18:33:50 UTC,2019-05-08 18:34:17 UTC,2019-05-08 18:34:17 UTC,Closed,The report has been logged and will help the City collect data on double parking and bike lane violations to determine target areas and future enforcement efforts. Thank you.,Parking Enforcement Review Queue,Parking Enforcement,Double_Parking,Parking Enforcement,"700 INDIANA ST, SAN FRANCISCO, CA, 94107",10,Dogpatch,POINT (-122.3917871 37.7611905),Web,http://mobile311.sfgov.org/reports/10836574/photos,37.7611905,-122.3917871,BAYVIEW
10799674,2019-04-30 16:10:00 UTC,2019-05-07 07:08:00 UTC,2019-05-07 07:08:00 UTC,Closed,05/06/2019 VEH GOA @1141 HOURS #130,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - DeliveryTruck,White - GMC -  - 4W86437,Intersection of HIGHLAND AVE and HOLLY PARK CIR,9,Holly Park,POINT (-122.41880035 37.73714828),Phone,,37.737148284912,-122.418800354004,INGLESIDE
10767868,2019-04-23 14:54:00 UTC,2019-05-01 14:02:00 UTC,2019-05-01 14:02:00 UTC,Closed,"To view status, see http://dbiweb.sfgov.org/dbipts/default.aspx?page=AddressComplaint&ComplaintNo=201950552 or call 415-558-6570.",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"400 DORADO TER, SAN FRANCISCO, CA, 94112",7,Mt. Davidson Manor,POINT (-122.461586 37.72557449),Phone,,37.725574493408,-122.461585998535,TARAVAL
11394465,2019-09-10 09:03:00 UTC,2019-09-11 10:43:17 UTC,2019-09-11 10:43:17 UTC,Closed,SES Graffiti Crew  - Remove Sign - Pole - Signal Light,DPW Ops Queue,Graffiti,Graffiti on Bridge,Bridge - Not_Offensive,Intersection of RANDALL ST and SAN JOSE AVE,8,Holly Park,POINT (-122.42414856 37.73986816),Phone,,37.739868164063,-122.42414855957,INGLESIDE
11314846,2019-08-23 16:17:21 UTC,2019-08-23 17:45:00 UTC,2019-08-23 17:45:00 UTC,Closed,,311 Supervisor Queue,Noise Report,Noise Issue,Other,Intersection of 20TH ST and TENNESSEE ST,10,Dogpatch,POINT (-122.38941167 37.76047167),Mobile/Open311,,37.760471666667,-122.389411666667,BAYVIEW
11106198,2019-07-09 16:59:00 UTC,2019-07-10 11:10:00 UTC,2019-07-10 11:10:00 UTC,Closed,check all the cans dont see no problem seems already removed,DPW Ops Queue,Litter Receptacles,Other_garbage_can_repair,N/A,"238 KING ST, SAN FRANCISCO, CA, 94107",6,Mission Bay,POINT (-122.39292221 37.77734081),Mobile/Open311,http://mobile311.sfgov.org/reports/11106198/photos,37.777340808307,-122.392922209109,SOUTHERN
11367168,2019-09-04 10:21:16 UTC,2019-09-06 10:17:02 UTC,2019-09-06 10:17:02 UTC,Closed,,DPW Ops Queue,Illegal Postings,Illegal Postings - Multiple_Postings,Multiple Postings,"2205 INGALLS ST, SAN FRANCISCO, CA, 94124",10,Hunters Point,POINT (-122.38728 37.725089),Mobile/Open311,,37.725089,-122.38728,BAYVIEW
9820571,2018-11-17 12:33:00 UTC,2018-11-18 10:21:41 UTC,2018-11-18 10:21:41 UTC,Closed,SES Graffiti Crew  - Remove Stickers / Clean - Misc - Bicycle rack,DPW Ops Queue,Graffiti,Graffiti on Bike_rack,Bike_rack - Not_Offensive,Intersection of DIVISADERO ST and FELL ST,5,Alamo Square,POINT (-122.43761444 37.77406311),Phone,,37.774063110352,-122.437614440918,NORTHERN
9670800,2018-10-14 14:50:42 UTC,2019-03-25 03:15:03 UTC,2019-03-25 03:15:03 UTC,Closed,The sign shop has completed and closed this request.,DPT SignShop Queue,Sign Repair,Sign - Faded,Other - Faded; support - OK,Intersection of SAN JOSE AVE and DOLORES ST,8,Fairmount,POINT (-122.42385695 37.74087078),Mobile/Open311,http://mobile311.sfgov.org/reports/9670800/photos,37.740870778503,-122.423856945277,INGLESIDE
5429768,2016-01-04 11:21:55 UTC,2016-01-04 12:00:00 UTC,2016-01-04 12:00:00 UTC,Closed,resolved: Fixed Pedestal (Pedmount) News Rack. Forwarded to Clear Channel. - Fixed Pedestal (Pedmount) News Rack. Forwarded to Clear Channel.,DPW BSM Queue,Damaged Property,Damaged News_Rack,News_Rack,Intersection of I-280 S OFF RAMP and OCEAN AVE,7,Sunnyside,POINT (-122.44880567 37.72286234),Mobile/Open311,http://mobile311.sfgov.org/reports/5429768/photos,37.72286234427,-122.448805673162,INGLESIDE
5142890,2015-09-29 11:53:24 UTC,2015-09-29 16:13:33 UTC,2015-09-29 16:13:33 UTC,Closed,resolved: duplicate copy,DPW - Bureau of Street Environmental Services - G,General Request - PUBLIC WORKS,compliment,bses - compliment,Intersection of BACON ST and CAMBRIDGE ST,9,University Mound,POINT (-122.41740842 37.72401488),Phone,,37.724014878157,-122.417408417136,BAYVIEW
9316575,2018-07-25 16:12:00 UTC,2018-07-25 22:15:55 UTC,2018-07-25 22:15:55 UTC,Closed,Request is a duplicate and has been previously reported as 9315223,DPW Ops Queue,Illegal Postings,Illegal Postings - No_Posting_Date,No Posting Date,"991 POINT LOBOS AVE, SAN FRANCISCO, CA, 94121",1,Sutro Heights,POINT (-122.51398835 37.77863737),Web,,37.778637367233,-122.513988352423,RICHMOND
9149697,2018-06-18 06:45:00 UTC,2018-09-07 12:30:39 UTC,2018-09-07 12:30:39 UTC,Closed,case is resolved,DPT SignShop Queue,Sign Repair,Sign - Faded,Stop - Faded; support - OK,Intersection of WINSTON DR and BUCKINGHAM WAY,7,Stonestown,POINT (-122.47593689 37.7301178),Phone,,37.730117797852,-122.475936889648,TARAVAL
9340743,2018-07-31 12:05:55 UTC,2018-07-31 13:30:00 UTC,2018-07-31 13:30:00 UTC,Closed,"DPH Environmental HealthsConsumer Protection, Food Safety Programs415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"448 CORTLAND AVE, SAN FRANCISCO, CA, 94110",9,Holly Park,POINT (-122.41669464 37.73896408),Web,,37.738964080811,-122.416694641113,INGLESIDE
9222480,2018-07-03 21:48:00 UTC,2018-07-04 06:00:15 UTC,2018-07-04 06:00:15 UTC,Closed,Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"1949 OCEAN AVE, SAN FRANCISCO, CA, 94127",7,Ingleside Terraces,POINT (-122.463389 37.725444),Web,,37.725444,-122.463389,TARAVAL
9404379,2018-08-14 22:25:00 UTC,2018-08-15 06:00:28 UTC,2018-08-15 06:00:28 UTC,Closed,Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_reallocate,Noise Report - other_reallocate,"2375 POWELL ST, SAN FRANCISCO, CA, 94133",3,Fisherman's Wharf,POINT (-122.4120523 37.80637318),Mobile/Open311,,37.806373177716,-122.412052295703,CENTRAL
9192861,2018-06-27 10:54:00 UTC,2018-07-02 15:02:00 UTC,2018-07-02 15:02:00 UTC,Closed,"To view the status, see http://dbiweb.sfgov.org/dbipts/default.aspx?page=AddressComplaint&ComplaintNo=201875801 or call (415)558-6570.",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"55 MIGUEL ST, SAN FRANCISCO, CA, 94131",8,Fairmount,POINT (-122.4292395 37.7391093),Web,,37.7391093,-122.4292395,INGLESIDE
9286537,2018-07-19 05:40:00 UTC,2018-07-23 10:31:00 UTC,2018-07-23 10:31:00 UTC,Closed,"service is in a commercial area, will inform driver to try to limit the noise caused.",Recology_Noise,Noise Report,garbage_recycling_collection,Noise Report - garbage_recycling_collection,"305 2ND ST, SAN FRANCISCO, CA, 94107",6,Rincon Hill,POINT (-122.39658356 37.78550339),Phone,,37.785503387451,-122.396583557129,SOUTHERN
9749112,2018-10-31 20:40:00 UTC,2018-11-06 00:00:00 UTC,2018-11-06 00:00:00 UTC,Closed,DUPLICATE RFA SEE RFA 21368723  -,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,Intersection of 6TH AVE and CALIFORNIA ST,1,Presidio Terrace,POINT (-122.46456909 37.78499222),Phone,,37.784992218018,-122.464569091797,RICHMOND
9456280,2018-08-26 21:14:00 UTC,2018-09-07 17:14:39 UTC,2018-09-07 17:14:39 UTC,Closed,Maximo Work Order 5390764 has been completed. . s       Add'l Notes:s      Crew performed pole condition assessment. Pole checked good.,PUC Streetlights Queue,Streetlights,Streetlight - Pole_Damaged,Pole_Damaged on Metal Pole,"2901 21ST AVE, SAN FRANCISCO, CA, 94132",7,Merced Manor,POINT (-122.47733307 37.73436356),Phone,,37.734363555908,-122.477333068848,TARAVAL
9747395,2018-10-31 14:22:00 UTC,2018-10-31 16:23:23 UTC,2018-10-31 16:23:23 UTC,Closed,,DPW - Bureau of Street Environmental Services - G,General Request - CENTRAL SHOPS,compliment,central_shops - compliment,"15 HERMANN ST, SAN FRANCISCO, CA, 94102",8,Mint Hill,POINT (-122.42538452 37.77060699),Phone,,37.770606994629,-122.425384521484,PARK
9732661,2018-10-28 15:09:00 UTC,2018-11-05 17:00:09 UTC,2018-11-05 17:00:09 UTC,Closed,Per process - cases are closed 5 days after assignment.,311 Service Request Queue - Hold,311 External Request,Sidewalk_or_Curb_Issues,Sidewalk_or_Curb_Issues - MOD,Intersection of BUCARELI DR and GARCES DR,7,Parkmerced,POINT (-122.4813385 37.71595764),Phone,,37.715957641602,-122.481338500977,TARAVAL
9520769,2018-09-10 12:48:00 UTC,,2018-10-29 12:11:35 UTC,Open,Open,SFMTA - Temporary Sign Request Printing Queue,Temporary Sign Request,Temporary Sign Request for Tour_Buses,105 ft zone requested from 10/31/2018 to 11/01/2018,"1805 GEARY BLVD, SAN FRANCISCO, CA, 94115",5,Japantown,POINT (-122.43131256 37.78437424),Phone,,37.784374237061,-122.431312561035,NORTHERN
9418621,2018-08-18 04:47:06 UTC,2018-08-19 06:00:45 UTC,2018-08-19 06:00:45 UTC,Closed,Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"774 PANORAMA DR, SAN FRANCISCO, CA, 94131",7,Clarendon Heights,POINT (-122.45455933 37.75365448),Web,,37.75365447998,-122.454559326172,PARK
10341609,2019-01-10 14:58:00 UTC,2019-01-15 12:25:05 UTC,2019-01-15 12:25:05 UTC,Closed,check unit not a plumbing problem,Housing Authority SR Queue,SFHA Requests,Custodian,Custodian - Routine,"1808 SUNNYDALE AVE, SAN FRANCISCO, CA, 94134",10,Sunnydale,POINT (-122.41699982 37.71229935),Phone,,37.712299346924,-122.416999816895,INGLESIDE
9819119,2018-11-16 21:31:16 UTC,2018-11-17 06:00:11 UTC,2018-11-17 06:00:11 UTC,Closed,Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"8 BUCHANAN ST, SAN FRANCISCO, CA, 94102",8,Mint Hill,POINT (-122.4263916 37.76970291),Web,,37.769702911377,-122.426391601563,PARK
9913494,2018-12-10 08:28:43 UTC,2018-12-13 00:00:00 UTC,2018-12-13 00:00:00 UTC,Closed,vault cover not lifted. cover site and bolted in. condition not found  -,DPW BSM Queue,Sidewalk or Curb,Damaged_Side_Sewer_Vent_Cover,Damaged_Side_Sewer_Vent_Cover,"333 BEALE ST, SAN FRANCISCO, CA, 94105",6,Rincon Hill,POINT (-122.39221149 37.78814746),Web,http://mobile311.sfgov.org/reports/9913494/photos,37.788147462643,-122.392211486369,SOUTHERN
9829873,2018-11-20 05:38:10 UTC,2018-11-22 11:00:00 UTC,2018-11-22 11:00:00 UTC,Closed,"We will push the service to a later time, this is in a commercial zone of the city.",Recology_Noise,Noise Report,garbage_recycling_collection,Noise Report - garbage_recycling_collection,"400 BEALE ST, SAN FRANCISCO, CA, 94105",6,Rincon Hill,POINT (-122.390945 37.787229),Mobile/Open311,,37.787229,-122.390945,SOUTHERN
10723357,2019-04-13 01:24:57 UTC,2019-04-14 06:00:20 UTC,2019-04-14 06:00:20 UTC,Closed,Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"24 WILLIE MAYS PLZ, SAN FRANCISCO, CA, 94107",6,South Beach,POINT (-122.3911438 37.7781105),Web,,37.77811050415,-122.391143798828,SOUTHERN
10723552,2019-04-13 07:36:00 UTC,2019-04-17 11:06:00 UTC,2019-04-17 11:06:00 UTC,Closed,Added to complaint tracker.,Entertainment Commission - G,Noise Report,major_event_venue,Noise Report - major_event_venue,"24 WILLIE MAYS PLZ, SAN FRANCISCO, CA, 94107",6,South Beach,POINT (-122.3911438 37.7781105),Phone,,37.77811050415,-122.391143798828,SOUTHERN
10528005,2019-02-24 12:04:00 UTC,2019-02-26 16:02:26 UTC,2019-02-26 16:02:26 UTC,Closed,Pickup completed                                  NOT OUT,Recology_Litter,Litter Receptacles,Other_including_abandoned_toter,N/A,Intersection of HILTON ST and BAY SHORE BLVD,9,Apparel City,POINT (-122.40711212 37.73905945),Phone,,37.739059448242,-122.407112121582,BAYVIEW
260153,2008-08-05 16:01:01 UTC,2008-08-06 11:22:50 UTC,2008-08-06 11:22:50 UTC,Closed,Case is Invalid wrong classification,311 Supervisor Queue,Sewer Issues,Water_Main_Break,NA,"63 PALM AVE, SAN FRANCISCO, CA, 94118",2,Laurel Heights / Jordan Park,POINT (-122.45812225 37.78454971),Phone,,37.784549713135,-122.458122253418,RICHMOND
372721,2009-02-16 08:52:59 UTC,2009-07-21 15:57:49 UTC,2009-07-21 15:57:49 UTC,Closed,,Housing Authority SR Queue,SFHA Requests,Steam Fitter,Steam Fitter - Urgent,"185 BLYTHDALE AVE, SAN FRANCISCO, CA, 94134",10,Sunnydale,POINT (-122.41999817 37.71080017),Phone,,37.710800170898,-122.419998168945,INGLESIDE
311160,2008-11-08 16:31:32 UTC,2009-01-22 11:49:43 UTC,2009-01-22 11:49:43 UTC,Closed,,DPT SignShop Surveyed - Area 2 Queue,Sign Repair,Sign - Painted_Over,Other - Painted_Over; support - OK,Intersection of CAMBRIDGE ST and FELTON ST,9,University Mound,POINT (-122.41840363 37.72642517),Phone,,37.726425170898,-122.418403625488,BAYVIEW
423771,2009-05-03 07:43:49 UTC,2009-06-04 12:38:36 UTC,2009-06-04 12:38:36 UTC,Closed,,DPT SignShop 11 Queue,Sign Repair,Sign Repair - On_Ground,Stop - On_Ground; support - On_Ground,Intersection of HURON AVE and MISSION ST,11,Outer Mission,POINT (-122.45428467 37.70825577),Phone,,37.708255767822,-122.454284667969,INGLESIDE
258311,2008-08-01 19:36:51 UTC,2008-08-02 07:33:18 UTC,2008-08-02 07:33:18 UTC,Closed,Case Transferred Refer to 258387,311 Service Request Queue,311 External Request,Other,Other -,Intersection of BROADWAY and THE EMBARCADERO,3,Northern Waterfront,POINT (-122.39759064 37.79930115),Phone,,37.799301147461,-122.397590637207,CENTRAL
571287,2009-12-29 23:10:31 UTC,2009-12-30 17:16:36 UTC,2009-12-30 17:16:36 UTC,Closed,,DPW Ops Queue,Graffiti,Graffiti on Fire_call_box,Fire_call_box - Offensive,Intersection of LAUREL ST and SACRAMENTO ST,2,Presidio Heights,POINT (-122.45030212 37.7877655),Web,,37.78776550293,-122.450302124023,RICHMOND
569998,2009-12-28 08:22:33 UTC,2010-09-22 04:43:16 UTC,2010-09-22 04:43:16 UTC,Closed,,DPW BSM Queue,Street Defects,Utility_Excavation,Utility_Excavation,"2339 UNION ST, SAN FRANCISCO, CA, 94123",2,Cow Hollow,POINT (-122.43774414 37.79667664),Phone,,37.796676635742,-122.437744140625,NORTHERN
565831,2009-12-19 09:59:02 UTC,2010-01-19 12:27:51 UTC,2010-01-19 12:27:51 UTC,Closed,,DPT SignShop 08 Queue,Sign Repair,Sign Repair - On_Ground,Street_Name - On_Ground; support - On_Ground,Intersection of BEACON ST and MIGUEL ST,8,Fairmount,POINT (-122.43117523 37.739151),Phone,,37.739151000977,-122.431175231934,INGLESIDE
562181,2009-12-13 00:25:57 UTC,2014-10-28 12:00:00 UTC,2014-10-28 12:00:00 UTC,Closed,resolved: no condition exist at this location.No conditions found - nothing found at this location. No Action Required,DPW BSM Queue,Street Defects,Construction_Plate_Shifted,Construction_Plate_Shifted,Intersection of 5TH ST and BERRY ST,6,Mission Bay,POINT (-122.39557648 37.77403259),Phone,,37.774032592773,-122.395576477051,SOUTHERN
635375,2010-04-09 16:00:09 UTC,2010-04-09 18:16:44 UTC,2010-04-09 18:16:44 UTC,Closed,,DPW Ops Queue,Graffiti,Graffiti on Bridge,Bridge - Offensive,Intersection of CARL ST and COLE ST,5,Cole Valley,POINT (-122.4499588 37.76580048),Phone,,37.765800476074,-122.44995880127,PARK
787720,2010-12-13 06:13:08 UTC,2010-12-16 07:42:39 UTC,2010-12-16 07:42:39 UTC,Closed,,DPT SignShop 07 Queue,Sign Repair,Sign - Not_Visible,DPT Sign Shop,Intersection of MONTEREY BLVD and SAN LEANDRO WAY,7,Balboa Terrace,POINT (-122.46867371 37.73314667),Phone,,37.73314666748,-122.468673706055,TARAVAL
757313,2010-10-21 16:20:55 UTC,2010-11-02 08:49:43 UTC,2010-11-02 08:49:43 UTC,Closed,,DPT SignShop Surveyed - Area 1 Queue,Sign Repair,Sign - Painted_Over,Other_Parking_Type - Painted_Over; support - OK,Intersection of CARL ST and STANYAN ST,5,Parnassus Heights,POINT (-122.45275879 37.76544189),Web,,37.765441894531,-122.452758789063,PARK
776363,2010-11-22 08:18:19 UTC,2011-03-15 13:36:21 UTC,2011-03-15 13:36:21 UTC,Closed,,Housing Authority SR Queue,SFHA Requests,Steam Fitter,Steam Fitter - Urgent,BUILDING 1651 - 1657 SUNNYDALE AVE,10,Sunnydale,POINT (-122.41661835 37.71196747),Phone,,37.711967468262,-122.416618347168,INGLESIDE
668625,2010-06-04 10:07:30 UTC,2010-09-13 08:37:13 UTC,2010-09-13 08:37:13 UTC,Closed,,DPT - Sign Shop - G,General Request - MTA,mailing_request,sign_shop - mailing_request,"301 MOLIMO DR, SAN FRANCISCO, CA, 94127",7,Miraloma Park,POINT (-122.45200348 37.73668289),Phone,,37.736682891846,-122.452003479004,INGLESIDE
915207,2011-07-07 08:19:28 UTC,2011-07-08 06:06:12 UTC,2011-07-08 06:06:12 UTC,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,Street and Sidewalk Cleaning Request,Illegal dumping,"1230 HAYES ST, SAN FRANCISCO, CA, 94117",5,Alamo Square,POINT (-122.43676758 37.77523422),Web,,37.775234222412,-122.436767578125,NORTHERN
943826,2011-08-18 20:28:41 UTC,2011-08-22 11:31:13 UTC,2011-08-22 11:31:13 UTC,Closed,,DPT SignShop Surveyed - Area 2 Queue,Sign Repair,Sign - Loose,Street_Name - Loose; support - Leaning,Intersection of PAYSON ST and SAINT CHARLES AVE,7,Merced Heights,POINT (-122.46929932 37.71218872),Phone,,37.712188720703,-122.469299316406,TARAVAL
961128,2011-09-13 08:04:29 UTC,2011-09-20 06:15:47 UTC,2011-09-20 06:15:47 UTC,Closed,,311 Service Request Queue - Hold,311 External Request,Other,Other - ClearChannel,Intersection of CHESTNUT ST and SANSOME ST,3,Northern Waterfront,POINT (-122.40343475 37.80518341),Phone,,37.805183410645,-122.403434753418,CENTRAL
898029,2011-06-10 11:33:56 UTC,2011-06-12 06:06:14 UTC,2011-06-12 06:06:14 UTC,Closed,,DPW Ops Queue,Graffiti,Graffiti on Fire_call_box,Fire_call_box - Offensive,Intersection of COLE ST and WALLER ST,5,Cole Valley,POINT (-122.45052338 37.76859283),Web,,37.768592834473,-122.450523376465,PARK
927249,2011-07-25 17:14:12 UTC,2011-07-28 15:06:16 UTC,2011-07-28 15:06:16 UTC,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,Street and Sidewalk Cleaning Request,Illegal dumping,"520 SCOTT ST, SAN FRANCISCO, CA, 94117",5,Alamo Square,POINT (-122.43585205 37.77461624),Web,,37.774616241455,-122.435852050781,NORTHERN
825337,2011-02-13 13:56:59 UTC,2011-03-07 09:31:46 UTC,2011-03-07 09:31:46 UTC,Closed,,DPT SignShop 07 Queue,Sign Repair,Sign Repair - Loose,Street_Cleaning - Loose; support - OK,Intersection of ALEMANY BLVD and ARCH ST,7,Merced Heights,POINT (-122.46702576 37.71149445),Phone,,37.711494445801,-122.467025756836,TARAVAL
962305,2011-09-14 13:54:49 UTC,2011-09-14 16:11:00 UTC,2011-09-14 16:11:00 UTC,Closed,,DPW Ops Queue,Catch Basin Maintenance,Catch_Basin_Other,Catch_Basin_Other,"2425 GEARY BLVD, SAN FRANCISCO, CA, 94115",2,Anza Vista,POINT (-122.44368744 37.78256989),Phone,,37.782569885254,-122.443687438965,RICHMOND
1030861,2011-12-27 17:43:34 UTC,2012-01-04 15:07:31 UTC,2012-01-04 15:07:31 UTC,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,Street and Sidewalk Cleaning Request,Sidewalk cleaning,"2 MONTEREY BLVD, SAN FRANCISCO, CA, 94131",8,Glen Park,POINT (-122.43473816 37.73251343),Web,,37.732513427734,-122.43473815918,INGLESIDE
1044299,2012-01-15 14:53:54 UTC,2013-02-05 17:32:25 UTC,2013-02-05 17:32:25 UTC,Closed,,Housing Authority SR Queue,SFHA Requests,Steam Fitter,Steam Fitter - Urgent,"784 KIRKWOOD AVE, SAN FRANCISCO, CA, 94124",10,Hunters Point,POINT (-122.37400055 37.72940063),Phone,,37.729400634766,-122.374000549316,BAYVIEW
1029837,2011-12-26 09:27:32 UTC,2012-01-05 10:31:29 UTC,2012-01-05 10:31:29 UTC,Closed,Sign is visible acording to Survey Tech,DPT SignShop Surveyed - Area 2 Queue,Sign Repair,Sign Repair - Not_Visible,Stop - Not_Visible; support - OK,Intersection of 14TH AVE and TARAVAL ST,7,West Portal,POINT (-122.47023773 37.74328995),Phone,,37.74328994751,-122.470237731934,TARAVAL
